だーめ,,,1,名詞,一般,*,*,*,*,だーめ,ダーメ,ダーメ
おはよー,,,1,感動詞,*,*,*,*,*,おはよー,オハヨー,オハヨー
保険証,,,1,名詞,一般,*,*,*,*,保険証,ホケンショウ,ホケンショウ
ほしょうｍｏコム,,,1,名詞,固有名詞,一般,*,*,*,ほしょうｍｏコム,ホショウモコム,ホショウモコム
らく賃,,,1,名詞,固有名詞,一般,*,*,*,らく賃,ラクチン,ラクチン
トータルらく賃,,,1,名詞,固有名詞,一般,*,*,*,トータルらく賃,トータルラクチン,トータルラクチン
らく賃サポート,,,1,名詞,固有名詞,一般,*,*,*,らく賃サポート,ラクチンサポート,ラクチンサポート
いえらぶ,,,1,名詞,固有名詞,一般,*,*,*,いえらぶ,イエラブ,イエラブ
たのめーる,,,1,名詞,固有名詞,一般,*,*,*,たのめーる,タノメール,タノメール
たのめーるプラス,,,1,名詞,固有名詞,一般,*,*,*,たのめーるプラス,タノメールプラス,タノメールプラス
アクト安心ライフ24,,,1,名詞,固有名詞,一般,*,*,*,アクト安心ライフ24,アクトアンシンライフニジュウヨン,アクトアンシンライフニジュウヨン
日本セーフティー,,,1,名詞,固有名詞,一般,*,*,*,日本セーフティー,ニホンセーフティー,ニホンセーフティー
ライフラインコンシェルジュ,,,1,名詞,固有名詞,一般,*,*,*,ライフラインConcierge,ライフラインコンシェルジュ,ライフラインコンシェルジュ
シータ,,,1,名詞,固有名詞,一般,*,*,*,Theta,シータ,シータ
